"course","female","ethnicity","first_gen","lowincome","grade","high_school_gpa","id_var","treatment_flag"
"Entry Bio",0,"Other",0,0,2,3.8035230664844,1,"Control"
"Entry Bio",1,"Asian",0,1,3.7,3.21026155697959,2,"Control"
"Entry Bio",1,"Other",0,0,2,3.5970177680121,3,"Control"
"Entry Bio",1,"Other",0,0,2,3.65101342295221,4,"Control"
"Entry Bio",1,"Asian",0,1,2.3,3.93313477851073,5,"Control"
"Entry Bio",0,"White",1,0,3.3,3.49849604192943,6,"Control"
"Entry Bio",0,"Underrep Student of Color",0,0,4,3.21509371504033,7,"Control"
"Entry Bio",0,"White",0,0,3.7,3.63639212217258,8,"Control"
"Entry Bio",0,"White",0,0,3,3.60605212594781,9,"Control"
"Entry Bio",0,"White",0,0,2,3.54744227472368,10,"Control"
"Entry Bio",1,"Underrep Student of Color",0,0,2,3.38954104712131,11,"Control"
"Entry Bio",0,"White",0,0,2.3,3.82294058151407,12,"Control"
"Entry Bio",1,"White",1,0,1,3.53679214323282,13,"Control"
"Entry Bio",0,"White",0,0,3.7,3.03734006551894,14,"Control"
"Entry Bio",1,"Other",0,1,3,3.48125214107063,15,"Control"
"Entry Bio",1,"White",0,1,1,3.31011945854662,16,"Control"
"Entry Bio",0,"White",0,0,1.3,2.94706695323296,17,"Control"
"Entry Bio",0,"Other",0,0,3.7,3.89439403481122,18,"Control"
"Entry Bio",0,"White",1,1,3.7,3.38904492548337,19,"Control"
"Entry Bio",0,"White",0,0,2.7,3.74718002096991,20,"Control"
"Entry Bio",1,"White",0,1,2,3.56899354125015,21,"Control"
"Entry Bio",1,"White",0,0,2.7,3.33289317234532,22,"Control"
"Entry Bio",0,"Asian",0,0,2,3.94284932561294,23,"Control"
"Entry Bio",1,"White",0,0,3.3,3.71916916895763,24,"Control"
"Entry Bio",1,"White",0,0,3,3.88294894690739,25,"Control"
"Entry Bio",0,"Underrep Student of Color",0,0,0,3.84027379505091,26,"Control"
"Entry Bio",0,"White",0,0,2,3.7091283292273,27,"Control"
"Entry Bio",0,"Underrep Student of Color",0,1,2.7,3.70375177181797,28,"Control"
"Entry Bio",0,"White",0,0,3,3.54809155824951,29,"Control"
"Entry Bio",1,"White",0,0,4,3.46979475859615,30,"Control"
"Entry Bio",1,"White",0,0,2,3.63358996320698,31,"Control"
"Entry Bio",1,"Underrep Student of Color",0,1,3.3,3.35744101497423,32,"Control"
"Entry Bio",0,"Underrep Student of Color",0,1,4,3.90321451680333,33,"Control"
"Entry Bio",0,"Other",0,0,3,3.90061147985405,34,"Control"
"Entry Bio",0,"White",0,1,3,3.03760539790123,35,"Control"
"Entry Bio",0,"White",1,0,0,3.97206069807915,36,"Control"
"Entry Bio",0,"White",0,1,4,3.87820009808144,37,"Control"
"Entry Bio",1,"White",0,0,1,3.78299916002671,38,"Control"
"Entry Bio",0,"White",0,0,2.7,3.92451085041557,39,"Control"
"Entry Bio",0,"White",1,0,2,3.53805496046774,40,"Control"
"Entry Bio",1,"White",0,0,3,3.78522475737922,41,"Control"
"Entry Bio",0,"Underrep Student of Color",0,0,4,3.46543733359027,42,"Control"
"Entry Bio",1,"White",0,1,2.3,3.92980509229035,43,"Control"
"Entry Bio",1,"White",0,0,4,3.63933506667816,44,"Control"
"Entry Bio",0,"White",0,0,3.7,3.45243522856982,45,"Control"
"Entry Bio",1,"White",0,0,2,3.86796898051348,46,"Control"
"Entry Bio",0,"Asian",0,1,2.7,3.37689483049274,47,"Control"
"Entry Bio",1,"White",0,0,3.7,3.22012277382163,48,"Control"
"Entry Bio",1,"Underrep Student of Color",0,0,3,3.6812569006162,49,"Control"
"Entry Bio",1,"Asian",0,1,2,3.66171672714565,50,"Control"
"Entry Bio",0,"White",0,0,3.7,3.88025009458918,51,"Control"
"Entry Bio",1,"Other",0,0,2,3.50091322063868,52,"Control"
"Entry Bio",1,"Asian",0,0,0,3.94928237527203,53,"Control"
"Entry Bio",0,"Asian",0,1,4,3.97846896370464,54,"Control"
"Entry Bio",0,"Other",0,0,3.7,3.70862747448023,55,"Control"
"Entry Bio",1,"Underrep Student of Color",0,0,3,3.31443297118154,56,"Control"
"Entry Bio",0,"White",0,0,4,3.71349403125191,57,"Control"
"Entry Bio",0,"White",0,1,2.7,3.30885076447469,58,"Control"
"Entry Bio",1,"Asian",0,0,2.3,3.7164953555948,59,"Control"
"Entry Bio",1,"Underrep Student of Color",0,0,2,3.43637600682812,60,"Control"
"Entry Bio",1,"White",0,0,0.7,3.80141196352574,61,"Control"
"Entry Bio",1,"Other",0,0,2,3.4723075604137,62,"Control"
"Entry Bio",0,"White",0,0,2.7,3.76962290403133,63,"Control"
"Entry Bio",1,"White",0,0,2,3.58193210638881,64,"Control"
"Entry Bio",0,"Other",0,0,1.7,3.7451446096362,65,"Control"
